GR_F,NPHIC,RHOBC,DTC,VCL_FINAL,PHIE_FINAL,TypeRock
49.2132,0.177,2.3527,80.227,0.134,0.164,2
47.4872,0.1857,2.3428,80.197,0.1226,0.1713,2
39.477,0.1961,2.309,79.854,0.0737,0.1977,2
42.5537,0.2047,2.3085,80.961,0.0917,0.1958,2
48.6094,0.2144,2.3183,82.267,0.13,0.1853,2
54.4006,0.2235,2.3195,84.381,0.1701,0.1797,2
56.2046,0.2306,2.3236,84.497,0.1834,0.1756,2
54.2845,0.2369,2.3323,82.469,0.1693,0.172,2
54.2989,0.2388,2.3715,78.212,0.1694,0.1482,3
56.0223,0.2345,2.3841,77.797,0.182,0.1391,3
56.8417,0.225,2.4111,75.619,0.1882,0.122,3
52.3806,0.2129,2.4037,74.859,0.1557,0.1304,3
49.8488,0.2001,2.4116,73.364,0.1383,0.1277,3
48.5807,0.1884,2.4095,73.447,0.1298,0.13,3
47.6328,0.1806,2.4026,74.048,0.1236,0.135,3
46.4994,0.1746,2.4121,72.748,0.1163,0.1301,3
45.0123,0.167,2.4226,71.244,0.1068,0.1249,3
46.1083,0.1602,2.4181,72.453,0.1138,0.1267,3
43.0338,0.1588,2.3874,74.424,0.0946,0.1477,3
41.7451,0.1635,2.3813,74.32,0.0869,0.1523,2
45.7282,0.172,2.4026,73.514,0.1114,0.1364,3
53.3102,0.1815,2.4409,72.452,0.1623,0.1071,3
54.687,0.1841,2.4566,71.286,0.1722,0.0963,4
52.2322,0.175,2.4763,68.421,0.1547,0.0865,4
47.6311,0.1546,2.5318,61.181,0.1236,0.0567,4
44.9909,0.1281,2.5295,61.213,0.1067,0.0601,4
42.8736,0.1031,2.4285,71.999,0.0937,0.1229,3
41.4018,0.0922,2.4048,74.273,0.0849,0.1383,3
40.1558,0.1015,2.4012,73.76,0.0776,0.1414,3
43.6654,0.1254,2.388,75.862,0.0985,0.1468,3
45.0883,0.1519,2.4062,73.579,0.1073,0.1348,3
45.9389,0.172,2.398,74.012,0.1127,0.1391,3
43.52,0.1828,2.3952,72.921,0.0976,0.1426,3
45.9305,0.1871,2.4309,70.017,0.1126,0.1191,3
46.1621,0.192,2.4287,70.179,0.1141,0.1203,3
46.3857,0.1993,2.4248,70.436,0.1155,0.1225,3
43.8359,0.206,2.4104,70.589,0.0995,0.1332,3
42.8837,0.212,2.4032,70.711,0.0937,0.1382,3
41.9971,0.2145,2.3962,70.982,0.0884,0.1431,3
37.0219,0.209,2.3887,69.755,0.0599,0.1511,2
37.3299,0.1956,2.4082,68.307,0.0616,0.1391,3
37.1507,0.1737,2.4217,67.578,0.0606,0.131,3
37.0053,0.1457,2.4579,64.674,0.0598,0.1092,3
33.2001,0.1184,2.4748,62.161,0.0395,0.1014,3
30.5074,0.098,2.4911,59.963,0.0259,0.0931,4
30.6047,0.0853,2.5385,55.404,0.0264,0.0644,4
30.181,0.0805,2.5426,54.948,0.0243,0.0621,4
31.0526,0.0802,2.541,55.521,0.0286,0.0626,4
31.4888,0.079,2.5674,52.942,0.0308,0.0464,4
33.1436,0.0764,2.555,55.095,0.0392,0.0528,4
31.2179,0.0743,2.5411,55.801,0.0294,0.0624,4
30.4711,0.0744,2.5456,54.982,0.0257,0.0602,4
31.6177,0.0782,2.5548,54.369,0.0314,0.0539,4
30.6839,0.0853,2.5474,54.484,0.0268,0.0589,4
30.6568,0.091,2.5393,55.128,0.0266,0.0638,4
29.754,0.095,2.5314,55.426,0.0222,0.0692,4
32.6191,0.0987,2.5321,56.496,0.0365,0.067,4
33.3595,0.1019,2.5252,57.444,0.0403,0.0707,4
38.7312,0.104,2.5454,57.603,0.0694,0.055,4
41.1826,0.1037,2.5492,58.302,0.0836,0.051,4
41.602,0.1007,2.5598,57.472,0.0861,0.0443,4
37.2659,0.0972,2.5393,57.855,0.0612,0.0597,4
32.1022,0.0962,2.5077,58.965,0.0339,0.0821,4
31.9584,0.0986,2.4986,59.786,0.0331,0.0877,4
33.2916,0.1028,2.5,60.077,0.04,0.0861,4
35.2601,0.1079,2.569,60.606,0.0503,0.043,4
38.3891,0.1129,2.567,60.81,0.0675,0.0421,4
36.4638,0.117,2.55,62.021,0.0568,0.0537,4
35.8413,0.1219,2.538,63.092,0.0534,0.0614,4
34.2234,0.127,2.536,63.941,0.0448,0.0637,4
33.9684,0.1306,2.508,63.847,0.0435,0.0808,4
33.2081,0.133,2.545,64.667,0.0395,0.0588,4
32.512,0.1313,2.549,64.565,0.036,0.0569,4
32.7833,0.1278,2.524,63.5,0.0374,0.0718,4
33.4013,0.1253,2.525,63.075,0.0405,0.0708,4
32.6749,0.1247,2.544,63.929,0.0368,0.0598,4
36.7103,0.1265,2.58,63.279,0.0582,0.0354,4
40.0349,0.129,2.548,63.966,0.0769,0.0525,4
42.3782,0.1309,2.513,63.116,0.0907,0.072,4
40.5975,0.1324,2.524,63.947,0.0802,0.0666,4
39.0005,0.1348,2.526,64.56,0.071,0.0666,4
37.666,0.1384,2.538,65.815,0.0634,0.0602,4
37.5727,0.1418,2.489,66.455,0.0629,0.0899,4
36.8818,0.1429,2.481,67.148,0.0591,0.0953,4
34.1381,0.1413,2.463,68.132,0.0444,0.108,3
33.5704,0.1369,2.451,68.094,0.0414,0.1156,3
34.8807,0.1328,2.503,67.461,0.0483,0.0832,4
35.23,0.1308,2.484,66.931,0.0502,0.0945,4
35.7267,0.1325,2.493,65.89,0.0528,0.0887,4
34.2517,0.1379,2.498,64.95,0.045,0.0867,4
34.8303,0.1435,2.491,64.224,0.048,0.0905,4
35.2316,0.1469,2.493,65.444,0.0502,0.0891,4
35.5919,0.1471,2.509,66.033,0.0521,0.0791,4
37.5105,0.1444,2.499,65.739,0.0626,0.0839,4
40.6497,0.1398,2.541,65.055,0.0805,0.0563,4
42.4086,0.1346,2.536,64.291,0.0909,0.0581,4
42.7372,0.1287,2.536,64.034,0.0929,0.0578,4
42.9062,0.1229,2.543,62.893,0.0939,0.0535,4
39.9229,0.1174,2.544,61.988,0.0762,0.055,4
42.5855,0.113,2.562,60.892,0.0919,0.0422,4
44.7796,0.111,2.577,60.338,0.1054,0.0315,4
44.6425,0.1101,2.592,59.958,0.1045,0.0225,4
42.2593,0.1085,2.585,59.703,0.09,0.0285,4
36.4515,0.1073,2.599,58.069,0.0568,0.024,4
37.8287,0.1057,2.604,57.618,0.0644,0.0201,4
38.6145,0.1036,2.61,57.356,0.0688,0.0159,4
40.2985,0.1011,2.5549,57.389,0.0784,0.0481,4
37.909,0.0974,2.5572,56.22,0.0648,0.0484,4
34.2993,0.0917,2.5378,56.891,0.0452,0.0625,4
33.8306,0.0858,2.5393,56.736,0.0428,0.0619,4
36.0708,0.0818,2.5431,57.475,0.0547,0.0581,4
38.5579,0.0802,2.5582,57.033,0.0684,0.0474,4
41.2321,0.0807,2.574,56.516,0.0839,0.0359,4
38.6904,0.0832,2.5671,56.025,0,0.0502,4
36.758,0.0858,2.5695,54.814,0,0.0488,4
32.7697,0.0866,2.5593,54.09,0,0.0549,4
32.6603,0.0848,2.5758,52.34,0,0.0449,4
35.8019,0.0789,2.5757,53.98,0,0.0451,4
40.4383,0.0717,2.5885,54.943,0,0.0373,4
43.8429,0.07,2.6143,53.759,0,0.0216,4
54.9207,0.0819,2.6741,51.87,0,0,4
82.6198,0.1135,2.6104,69.884,0.086,0.0136,4
102.336,0.1753,2.6722,69.805,0.2753,0,4
110.3498,0.248,2.6234,75.935,0.3768,0,4
114.9205,0.3068,2.6393,74.125,0.4431,0,4
117.4106,0.3403,2.6156,76.541,0.4822,0,4
123.0631,0.3414,2.4361,98.228,0.5801,0.0593,4
123.3857,0.3245,2.4382,98.763,0.5862,0.0573,4
124.2483,0.3107,2.4627,97.04,0.6025,0.0405,4
122.3069,0.309,2.4591,96.621,0.5662,0.0471,4
125.825,0.3112,2.4857,95.262,0.6335,0.0228,4
126.5164,0.3129,2.4808,96.03,0.6475,0.0241,4
125.2134,0.314,2.4734,96.197,0.6213,0.0317,4
125.2195,0.3161,2.4605,97.504,0.6214,0.0395,4
129.0103,0.3195,2.4656,98.532,0.7004,0.0269,4
131.7656,0.3222,2.4651,99.707,0.764,0.0194,4
130.5272,0.3256,2.4659,98.945,0.7347,0.0225,4
127.0324,0.3262,2.4609,97.898,0.6581,0.0348,4
127.5625,0.3242,2.4745,96.757,0.6692,0.0252,4
125.8037,0.3225,2.4762,95.848,0.633,0.0286,4
127.4802,0.3207,2.4838,95.856,0.6675,0.0198,4
126.7541,0.3182,2.4741,96.655,0.6524,0.0275,4
127.3143,0.3191,2.4624,98.122,0.664,0.0332,4
127.9258,0.3254,2.4322,101.404,0.6769,0.05,4
132.7429,0.337,2.4261,103.773,0.788,0.0402,4
131.4838,0.3512,2.4187,103.482,0.7572,0.0484,4
132.5226,0.367,2.4074,104.577,0.7825,0.0522,4
130.6683,0.381,2.3957,104.492,0.738,0.0647,4
128.5359,0.3874,2.366,106.486,0.69,0.0885,4
132.7269,0.3848,2.3692,108.106,0.7876,0.0747,4
135.394,0.3816,2.3745,108.845,0.8577,0.063,4
137.5282,0.3808,2.3712,110.183,0.9197,0.0575,4
135.869,0.3871,2.3574,110.683,0.871,0.0717,4
130.1875,0.404,2.3329,110.148,0.7269,0.1041,4
131.371,0.4191,2.3436,108.978,0.7545,0.0942,4
133.5443,0.4246,2.3582,108.191,0.8083,0.0789,4
133.6006,0.4223,2.3938,104.486,0.8098,0.0571,4
118.9988,0.4173,2.344,103.491,0.5083,0.1239,3
117.5598,0.4119,2.3605,101.273,0.4846,0.1167,3
120.9169,0.404,2.3818,100.784,0.5413,0.0969,4
122.5171,0.3953,2.4058,99.245,0.57,0.0789,4
119.2024,0.3842,2.3851,100.393,0.5118,0.0985,4
112.7586,0.3713,2.3606,100.612,0.4109,0.1256,3
109.7483,0.3668,2.3476,100.826,0.3686,0.1386,3
115.2894,0.3737,2.3936,98.124,0.4488,0.101,3
120.0992,0.384,2.4152,97.584,0.5271,0.0784,4
121.9557,0.3888,2.432,96.432,0.5598,0.0643,4
120.1619,0.3875,2.407,98.353,0.5281,0.0832,4
117.0719,0.3789,2.3868,99.453,0.4767,0.1017,3
122.537,0.3679,2.4204,98.702,0.5704,0.07,4
130.7162,0.3602,2.453,99.142,0.7391,0.0298,4
137.6244,0.3543,2.4857,98.94,0.9227,0,4
132.4564,0.3418,2.4595,99.902,0.7809,0.0208,4
126.773,0.329,2.411,103.016,0.6527,0.0657,4
126.2695,0.3266,2.4011,103.947,0.6424,0.073,4
127.4567,0.3363,2.3824,106.118,0.667,0.0813,4
137.6907,0.3489,2.4047,107.835,0.9247,0.0366,4
143.339,0.3508,2.4642,103.917,1,0,4
147.2094,0.3382,2.4802,104.403,1,0,4
147.0946,0.3294,2.5171,100.722,1,0,4
138.7527,0.3468,2.4884,99.439,0.9582,0,4
131.5724,0.392,2.452,98.465,0.7593,0.0279,4
123.4414,0.402,2.4265,97.203,0.5872,0.0643,4
120.386,0.412,2.4011,98.189,0.532,0.0864,4
108.3385,0.422,2.3356,99.453,0.3497,0.1481,3
95.3263,0.432,2.267,100.623,0.1991,0.208,1
89.5245,0.442,2.2267,100,0.1438,0.2391,1
88.1102,0.452,2.2826,101.3333,0.1313,0.2067,1
89.0031,0.449,2.3061,102.6667,0.1392,0.1916,2
94.9383,0.446,2.3178,104,0.1952,0.1777,2
96.6148,0.443,2.3118,105.3333,0.2123,0.1792,2
96.4607,0.44,2.0931,106.6667,0.2107,0.312,1
93.4621,0.437,2.1285,108,0.1807,0.2942,1
90.4622,0.434,2.1314,108,0.1523,0.2958,1
86.7776,0.4355,2.1858,108,0.1198,0.2668,1
84.4974,0.437,2.1178,108,0.1009,0.3103,1
80.8111,0.4385,2.2769,110,0.0721,0.2174,1
90.3013,0.44,2.2971,109,0.1509,0.1956,2
108.5181,0.422,2.4027,108.25,0.3521,0.1072,3
116.2838,0.428,2.4106,107.5,0.4642,0.0888,4
107.4695,0.4232,2.284,106.75,0.3384,0.1808,3
105.5962,0.4184,2.2585,106,0.3145,0.1991,3
101.3692,0.4136,2.2566,105,0.2641,0.2064,2
110.5258,0.4088,2.3189,104,0.3793,0.1547,3
111.4813,0.404,2.3181,104.4,0.3926,0.1536,3
114.9957,0.4085,2.3196,104.8,0.4443,0.1464,3
114.853,0.413,2.3566,105.2,0.4421,0.1242,3
108.2704,0.4175,2.1998,105.6,0.3488,0.2306,3
98.5053,0.422,2.1783,106,0.2323,0.2577,2
93.3499,0.4235,2.1295,108.5,0.1796,0.2937,1
89.3966,0.425,2.2633,111,0.1427,0.2171,1
88.0549,0.4265,2.088,111.3333,0.1308,0.3247,1
90.3157,0.428,2.1269,111.6667,0.151,0.2987,1
86.4622,0.428,2.1616,112,0.1171,0.2818,1
90.3209,0.422,2.1699,111.6667,0.151,0.2727,1
91.2329,0.416,2.1496,111.3333,0.1594,0.284,1
101.6406,0.41,2.2276,111,0.2672,0.2236,2
117.3474,0.4055,2.2927,109.6667,0.4812,0.1582,3
120.3975,0.401,2.3319,108.3333,0.5322,0.1283,3
118.014,0.3965,2.3175,107,0.492,0.1419,3
112.9869,0.392,2.272,107.6667,0.4143,0.1789,3
111.8854,0.383,2.2839,108.3333,0.3984,0.1736,3
108.1153,0.374,2.2746,109,0.3468,0.1855,3
110.9659,0.365,2.2842,108.5,0.3854,0.175,3
109.242,0.356,2.3921,108,0.3618,0.1125,3
112.6112,0.364,2.3264,107.5,0.4088,0.1466,3
117.0956,0.372,2.3171,107,0.4771,0.1439,3
121.5868,0.38,2.3406,106.5714,0.5532,0.1205,4
118.1047,0.386,2.3462,106.1429,0.4935,0.1243,3
120.2531,0.362,2.3727,105.7143,0.5297,0.1038,3
119.9055,0.3716,2.3773,105.2857,0.5237,0.1018,3
120.9445,0.3812,2.3597,104.8571,0.5418,0.1103,3
118.5566,0.3908,2.3301,104.4286,0.501,0.1332,3
118.784,0.4004,2.3114,104,0.5047,0.144,3
119.9072,0.41,2.2964,105.6667,0.5238,0.1508,3
117.0204,0.416,2.266,107.3333,0.4759,0.1751,3
109.5818,0.422,2.2282,109,0.3663,0.2112,3
106.0547,0.428,2.2068,109.5,0.3203,0.2298,3
102.6397,0.419,2.2143,110,0.2788,0.2303,2
106.0057,0.41,2.2501,110.5,0.3197,0.2036,3
112.2872,0.401,2.2981,111,0.4041,0.1643,3
127.7026,0.392,2.4439,110.5,0.6722,0.0434,4
132.4105,0.392,2.5264,110,0.7797,0,4
130.7818,0.392,2.4865,109.5,0.7406,0.0093,4
119.5667,0.3935,2.4043,109,0.5179,0.0862,4
113.6358,0.395,2.3203,109,0.4238,0.1485,3
104.9492,0.3965,2.2802,109,0.3065,0.187,3
107.2072,0.398,2.2752,109,0.335,0.1865,3
112.0207,0.402,2.285,108.25,0.4003,0.1727,3
115.4453,0.406,2.285,107.5,0.4512,0.1665,3
115.5846,0.41,2.301,106.75,0.4533,0.1566,3
112.0446,0.412,2.2891,106,0.4006,0.1702,3
103.5933,0.414,2.2551,106.241,0.2901,0.2041,2
98.644,0.416,2.2474,104.788,0.2338,0.2157,2
108.9206,0.418,2.2883,104.918,0.3574,0.1759,3
115.6027,0.42,2.2997,106.61,0.4536,0.1573,3
116.052,0.422,2.2638,110.578,0.4606,0.1782,3
112.0876,0.4184,2.239,111.591,0.4013,0.2004,3
106.3488,0.4148,2.2224,110.945,0.324,0.2199,3
103.975,0.4112,2.2066,111.704,0.2947,0.233,2
101.7427,0.4076,2.2257,108.803,0.2684,0.2246,2
101.9934,0.404,2.2646,104.877,0.2713,0.2007,2
111.8522,0.3788,2.2951,106.946,0.3979,0.1669,3
114.9759,0.3661,2.2945,108.861,0.444,0.1616,3
113.5598,0.3603,2.2868,109.267,0.4227,0.1689,3
108.8726,0.3677,2.2184,114.221,0.3568,0.2183,3
104.4596,0.3893,2.2627,106.723,0.3005,0.1983,3
104.1405,0.4198,2.2425,107.618,0.2967,0.211,2
106.4193,0.4407,2.2383,108.324,0.3249,0.2101,3
107.5678,0.4348,2.281,104.481,0.3396,0.1825,3
110.5994,0.4076,2.3053,104.239,0.3803,0.1628,3
116.0066,0.3758,2.352,102.814,0.4599,0.1249,3
124.6747,0.3534,2.4216,100.058,0.6108,0.0644,4
132.206,0.3421,2.4559,100.161,0.7747,0.0237,4
132.3005,0.3364,2.4813,97.7,0.777,0.0081,4
133.8039,0.3299,2.5045,96.128,0.8151,0,4
135.0015,0.3237,2.5176,95.484,0.847,0,4
137.8619,0.324,2.5474,93.558,0.93,0,4
133.8221,0.3255,2.5214,94.481,0.8155,0,4
128.4832,0.3276,2.4961,94.73,0.6889,0.0098,4
118.5501,0.3302,2.4397,96.24,0.5009,0.0668,4
120.9597,0.3326,2.4463,96.524,0.5421,0.0578,4
123.8907,0.3343,2.4512,97.237,0.5957,0.0483,4
126.9412,0.3362,2.4692,96.604,0.6562,0.03,4
127.6164,0.3395,2.4598,97.789,0.6703,0.034,4
123.5388,0.345,2.4363,98.281,0.589,0.0581,4
117.2544,0.3546,2.3993,99.083,0.4797,0.0938,4
108.7307,0.3612,2.3533,99.962,0.3549,0.1368,3
106.7916,0.3644,2.3066,103.978,0.3296,0.1682,3
106.4342,0.3667,2.2844,106.111,0.3251,0.1822,3
109.9127,0.372,2.2925,106.608,0.3708,0.1717,3
115.5972,0.3839,2.3205,105.707,0.4535,0.1447,3
116.7079,0.3916,2.3119,106.836,0.4709,0.1478,3
117.9959,0.3916,2.3223,106.299,0.4917,0.139,3
119.1622,0.3872,2.3333,105.802,0.5111,0.13,3
112.7186,0.3777,2.3206,104.641,0.4103,0.1499,3
112.2107,0.3636,2.33,103.924,0.403,0.1451,3
112.1217,0.3511,2.3657,100.519,0.4017,0.1236,3
114.0307,0.3408,2.3971,98.392,0.4297,0.1012,3
113.3669,0.3309,2.3963,98.548,0.4198,0.1029,3
109.2424,0.3338,2.3729,99.097,0.3618,0.1241,3
109.8343,0.346,2.3714,99.078,0.3698,0.124,3
107.8784,0.3611,2.3377,101.26,0.3437,0.1476,3
116.2774,0.3743,2.3794,100.057,0.4641,0.1077,3
116.3702,0.3782,2.3805,99.839,0.4656,0.1069,3
120.2167,0.3732,2.4065,98.956,0.5291,0.0834,4
121.0323,0.3656,2.4096,99.274,0.5433,0.0799,4
120.0882,0.3616,2.3979,100.247,0.5269,0.0889,4
121.8475,0.3617,2.4049,100.281,0.5579,0.0809,4
127.2908,0.3635,2.4213,100.886,0.6635,0.0582,4
133.7625,0.3624,2.4636,99.293,0.814,0.0143,4
135.7949,0.3553,2.4583,101.025,0.869,0.0109,4
138.5621,0.3403,2.4784,100.654,0.9521,0,4
133.7247,0.3203,2.4906,97.926,0.813,0,4
129.6138,0.3055,2.4869,97.03,0.7139,0.0123,4
129.3492,0.2966,2.4883,97.084,0.7079,0.0122,4
131.2483,0.294,2.5132,95.368,0.7516,0,4
129.5004,0.2972,2.524,93.32,0.7113,0,4
125.7106,0.2991,2.5292,91.003,0.6312,0,4
123.8122,0.2987,2.5334,89.718,0.5942,0,4
123.9706,0.2991,2.5382,89.258,0.5972,0,4
123.0731,0.3021,2.5411,88.43,0.5803,0,4
118.0438,0.3047,2.5239,87.934,0.4925,0.0167,4
116.8542,0.307,2.5281,86.868,0.4733,0.0165,4
116.5317,0.3119,2.532,86.139,0.4681,0.0148,4
119.6065,0.3205,2.5216,88.298,0.5186,0.0149,4
119.2264,0.3335,2.5211,87.712,0.5122,0.016,4
120.3898,0.3496,2.5139,88.411,0.5321,0.018,4
119.6083,0.363,2.5044,88.588,0.5186,0.0254,4
120.9762,0.3681,2.46,93.756,0.5423,0.0494,4
119.3846,0.3651,2.4306,96.303,0.5148,0.0705,4
118.1454,0.3597,2.4482,94.066,0.4942,0.0624,4
119.6205,0.3652,2.4107,98.535,0.5189,0.0821,4
123.1885,0.3843,2.3958,101.019,0.5825,0.0834,4
133.4967,0.4069,2.4197,102.233,0.8071,0.0417,4
139.5429,0.419,2.4231,104.128,0.9843,0.0182,4
133.3847,0.4076,2.4296,101.104,0.8042,0.0361,4
125.0366,0.379,2.4325,98.115,0.6178,0.0569,4
120.3695,0.3466,2.4238,98.155,0.5317,0.0727,4
120.7006,0.3269,2.4634,94.782,0.5375,0.0479,4
117.0508,0.3256,2.4506,94.57,0.4764,0.0631,4
118.1442,0.3345,2.4696,92.695,0.4941,0.0494,4
117.0457,0.3478,2.468,91.894,0.4763,0.0526,4
118.7535,0.3579,2.4644,92.673,0.5042,0.0514,4
120.5438,0.3608,2.485,91.292,0.5348,0.0352,4
124.9977,0.3595,2.493,92.698,0.6171,0.0204,4
126.9029,0.3545,2.5,93.81,0.6554,0.0115,4
126.909,0.3516,2.4729,95.632,0.6556,0.0279,4
126.6207,0.3544,2.4724,95.45,0.6496,0.0289,4
123.4558,0.3612,2.48,96.213,0.5875,0.0318,4
132.4712,0.3696,2.441,95.032,0.7812,0.032,4
139.6758,0.3751,2.5226,95.152,0.9889,0,4
147.0916,0.3767,2.5646,93.9,1,0,4
149.0683,0.3766,2.5685,94.372,1,0,4
147.7312,0.3792,2.5348,97.284,1,0,4
144.1878,0.3888,2.5327,95.575,1,0,4
138.0235,0.4014,2.4914,96.786,0.935,0,4
127.0016,0.4093,2.4178,99.456,0.6575,0.061,4
117.4697,0.4057,2.555,98.893,0.4831,0,4
116.3929,0.3881,2.453,99.104,0.4659,0.0629,4
114.9411,0.3721,2.3821,99.254,0.4434,0.1086,3
110.0868,0.3686,2.3415,101.568,0.3732,0.1418,3
109.9818,0.3775,2.3667,98.49,0.3718,0.1266,3
111.3665,0.3906,2.3455,100.895,0.391,0.1371,3
115.3574,0.3939,2.375,102.259,0.4498,0.1121,3
112.9232,0.3891,2.3417,103.079,0.4133,0.1368,3
106.6649,0.379,2.3417,102.968,0.328,0.1471,3
104.2111,0.3688,2.3417,102.055,0.2975,0.1508,2
106.3388,0.3645,2.3417,101.42,0.3239,0.1476,3
118.5669,0.3627,2.378,101.657,0.5011,0.1041,3
121.3625,0.3632,2.388,101.81,0.5492,0.0922,4
121.073,0.3685,2.3864,101.664,0.5441,0.0938,4
120.8258,0.378,2.3734,102.594,0.5397,0.1022,3
115.7381,0.3838,2.3726,100.2,0.4557,0.1129,3
111.4721,0.385,2.3447,101.236,0.3925,0.1375,3
109.3132,0.3875,2.3281,101.959,0.3627,0.1511,3
113.226,0.3953,2.3435,101.776,0.4178,0.1351,3
115.7987,0.4083,2.3429,102.511,0.4566,0.1308,3
115.6295,0.4239,2.3134,105.015,0.454,0.149,3
